t(us) chan[0] chan[1] chan[2] chan[3]
56000.000000 -298540 -298756 2501325 1008419
56250.000000 -298569 -298755 2497257 1015952
56500.000000 -298540 -298817 2502464 1019719
56750.000000 -298579 -298817 2509214 1015328
57000.000000 -298608 -298828 2502018 1009159
57250.000000 -298542 -298805 2502190 1000785
57500.000000 -298562 -298828 2499342 989174
57750.000000 -298555 -298812 2495303 981538
58000.000000 -298590 -298776 2491748 968000
58250.000000 -298641 -298809 2481579 945367
58500.000000 -298624 -298839 2476257 925039
58750.000000 -298588 -298804 2475343 903527
59000.000000 -298590 -298811 2472702 882740
59250.000000 -298517 -298835 2460909 863369
59500.000000 -298547 -298896 2451322 848114
59750.000000 -298574 -298864 2440444 841678
60000.000000 -298571 -298885 2431757 826996
60250.000000 -298559 -298903 2426197 807180
60500.000000 -298555 -298879 2427024 788821
60750.000000 -298523 -298899 2425342 784256
61000.000000 -298509 -298932 2417694 774441
61250.000000 -298469 -298864 2415398 762652
61500.000000 -298498 -298859 2409199 761558
61750.000000 -298520 -298895 2408680 764476
62000.000000 -298560 -298917 2412337 767712
62250.000000 -298526 -298901 2408464 763631
62500.000000 -298549 -298944 2408974 769608
62750.000000 -298482 -298896 2408662 768968
63000.000000 -298477 -298971 2414085 764026
63250.000000 -298470 -298917 2414960 770700
63500.000000 -298468 -298898 2412328 782592
63750.000000 -298433 -298949 2410398 780469
64000.000000 -298457 -298938 2417322 782195
64250.000000 -298486 -298894 2420457 789124
64500.000000 -298516 -298884 2433629 798347
64750.000000 -298547 -298784 2440846 803931
65000.000000 -298516 -298828 2438283 813636
65250.000000 -298447 -298827 2433644 819193
65500.000000 -298470 -298826 2435101 826719
65750.000000 -298501 -298868 2432709 829106
66000.000000 -298520 -298883 2431553 821958
66250.000000 -298505 -298865 2433355 809668
66500.000000 -298473 -298840 2431582 800674
66750.000000 -298512 -298932 2431609 797431
67000.000000 -298515 -298841 2429472 802048
67250.000000 -298507 -298853 2434910 805970
67500.000000 -298499 -298916 2442046 820958
67750.000000 -298496 -298883 2444142 841989
68000.000000 -298542 -298830 2446830 859832
68250.000000 -298509 -298882 2455576 877944
68500.000000 -298472 -298874 2459250 892974
68750.000000 -298463 -298865 2468498 914238
69000.000000 -298565 -298867 2471721 933799
69250.000000 -298582 -298878 2479471 949181
69500.000000 -298573 -298836 2488107 958610
69750.000000 -298583 -298801 2494721 971137
70000.000000 -298560 -298821 2498191 989059
70250.000000 -298503 -298831 2496734 1009928
70500.000000 -298470 -298857 2501422 1023635
70750.000000 -298502 -298798 2509305 1039652
71000.000000 -298474 -298170 2526744 1020453
71250.000000 -298489 -298173 2530294 1034957
71500.000000 -298531 -298187 2532617 1043953
71750.000000 -298556 -298182 2532865 1060128
72000.000000 -298565 -298111 2530711 1061252
72250.000000 -298549 -298070 2528517 1061466
72500.000000 -298589 -298098 2528187 1055635
72750.000000 -298518 -298175 2533245 1056111
73000.000000 -298451 -298140 2539172 1053558
73250.000000 -298403 -298111 2533940 1049959
73500.000000 -298454 -298154 2533632 1047203
73750.000000 -298465 -298124 2534187 1040090
